genes,reaction
CPT2,LNELDCCPT2
CPT2,LNLCCPT2
CPT2,LNLNCACPT2
CPT2,LNLNCGCPT2
CPT2,NRVNCCPT2
CPT2,PTDCACRNCPT2
CPT2,RTOTAL2CRNCPT2
CPT2,RTOTAL3CRNCPT2
CPT2,RTOTALCRNCPT2
CPT2,STRDNCCPT2
CPT2,TETPENT3CPT2
CPT2,TETPENT6CPT2
CPT2,TETTET6CPT2
CPT2,TMNDNCCPT2
CPT2,TTDCPT2
CPT2,VACCCPT2
CROT,CSNAT2x
CSAD,3SALACBOXL
CSAD,LCYSTCBOXL
CSGALNACT1,GALNACT1g
CSGALNACT1,GALNACT2g
CSGALNACT1,GALNACT3g
CSGALNACT1,GALNACT4g
CSGALNACT1,GALNACT5g
CSGALNACT2,GALNACT1g
CSGALNACT2,GALNACT2g
CSGALNACT2,GALNACT3g
CSGALNACT2,GALNACT4g
CSGALNACT2,GALNACT5g
CTPS,CTPS1
CTSA,GALASE10ly
CTSA,GALASE11ly
CTSA,GALASE12ly
CTSA,GALASE13ly
CTSA,GALASE14ly
CTSA,GALASE15ly
CTSA,GALASE16ly
CTSA,GALASE17ly
CTSA,GALASE18ly
CTSA,GALASE19ly
CTSA,GALASE1ly
CTSA,GALASE20ly
CTSA,GALASE3ly
CTSA,GALASE4ly
CTSA,GALASE5ly
CTSA,GALASE6ly
CTSA,GALASE7ly
CTSA,GALASE8ly
CTSA,GALASE9ly
CTSA,GLB1
CTSA,LACZly
CTSA,S6TASE10ly
CTSA,S6TASE22ly
CTSA,S6TASE25ly
CTSA,S6TASE4ly
CTSA,S6TASE5ly
CTSA,S6TASE6ly
CTSA,S6TASE7ly
CTSA,S6TASE8ly
CTSA,S6TASE9ly
CTSA,SIAASE2ly
CTSA,SIAASE3ly
CTSA,SIAASE4ly
CTSA,SIAASEly
CYB5D1,L_LACDcm
CYBRD1,FE3R2e
CYC1,CYOR_u10m
CYP11A1,P45011A1m
CYP11B1,P45011B11m
CYP11B1,P45011B12m
CYP11B2,P45011B21m
CYP17A1,P45017A1r
CYP17A1,P45017A2r
CYP17A1,P45017A3r
CYP17A1,P45017A4r
CYP1A1,MELATNOX
CYP1A2,MELATNOX
CYP1B1,MELATNOX
CYP1B1,P4501B1r
CYP21A2,P45021A1r
CYP21A2,P45021A2r
CYP24A1,"24,25VITD2Hm"
CYP24A1,"24,25VITD3Hm"
CYP27A1,P45027A11m
CYP27A1,P45027A12m
CYP27A1,P45027A13m
CYP27A1,P45027A14m
CYP27A1,P45027A15m
CYP27A1,P45027A16m
CYP27A1,P45027A1m
CYP27A1,VITD2Hm
CYP27A1,VITD3Hm
CYP27B1,25VITD2Hm
CYP27B1,25VITD3Hm
CYP2A13,P4502A6
CYP2A6,P4502A6
CYP2C18,P4502C18
CYP2C19,MELATNOX
CYP2C19,P4502C19
CYP2C19,P4502C92
CYP2C19,P4502C93
CYP2C19,P4502C94
CYP2C9,P4502C9
CYP2C9,P4502C92
CYP2C9,P4502C93
CYP2C9,P4502C94
CYP2D6,P4502D6
CYP2E1,ACTLMO
CYP2E1,ACTNMO
CYP2E1,ETOHMO
CYP2E1,P4502E1
CYP2F1,P4502F1
CYP2F1,P4504B1r
CYP39A1,P45039A1r
CYP3A4,P4503A4
CYP3A5,P4503A5
CYP3A7,P4503A7r
CYP46A1,P45046A1r
CYP4A11,FAH1
CYP4A11,FAH2
CYP4A11,FAH3
CYP4F12,P4504F121r
CYP4F12,P4504F122r
CYP4F12,P4504F123r
CYP4F2,P4504F122r
